run_id,run_number,racer_name,placement,result,result_order,time,start_money,end_money,eevee_picked,eevee_order,draft_id,game_version,num_picks,num_racers,gym_order,e4_order
2026_01_28_r1,10,Ely,3,Flannery,4,,20000,300,,,7.25854E+11,7.91,24,3,,
2026_01_29_r1,11,Ely,1,Brandon,12,,20000,0,Espeon,2,1.153E+11,7.91,24,3,,"Sidney,Phoebe,Tucker"
2026_01_29_r1,11,Eli,2,Wattson,8,,20000,2100,Sylveon,1,1.153E+11,7.91,24,3,,
2026_01_29_r1,11,Jackson,3,Flannery,6,,20000,0,,,1.153E+11,7.91,24,3,,
2026_01_29_r2,12,Pavan,1,Sidney,9,,20000,2500,Sylveon,1,70995420577,7.91,32,4,,Sidney
2026_01_29_r2,12,Primo,2,Roxanne,4,,20000,0,,,70995420577,7.91,32,4,,
2026_01_29_r2,12,Paddy,3,Juan & Wallace,3,,20000,2600,,,70995420577,7.91,32,4,,
2026_01_29_r2,12,Austin,4,Juan & Wallace,3,,20000,0,,,70995420577,7.91,32,4,,
2026_01_30_r1,13,Jackson,1,Steven,13,,20000,0,Sylveon,1,6.34072E+11,7.91,24,3,,"unknown,unknown,unknown,unknown,Steven"
2026_01_30_r1,13,Pavan,2,Brawly,7,,20000,4400,Jolteon,2,6.34072E+11,7.91,24,3,,
2026_01_30_r1,13,Ely,3,Juan & Wallace,7,,20000,500,,,6.34072E+11,7.91,24,3,,
2026_01_30_r2,14,Eli,1,Juan & Wallace,7,,20000,800,,,7.16302E+11,7.91,48,6,,
2026_01_30_r2,14,Jackson,2,Juan & Wallace,7,,20000,0,Sylveon,2,7.16302E+11,7.91,48,6,,
2026_01_30_r2,14,Paddy,3,Winona,6,,20000,2400,Jolteon,1,7.16302E+11,7.91,48,6,,
2026_01_30_r2,14,Pavan,4,Roxanne,4,,20000,0,,,7.16302E+11,7.91,48,6,,
2026_01_30_r2,14,Ely,5,Brawly,3,,20000,1800,,,7.16302E+11,7.91,48,6,,
2026_01_30_r2,14,Austin,6,Norman,3,,20000,0,,,7.16302E+11,7.91,48,6,,
2026_01_31_r1,15,Ely,1,Steven,13,,20000,600,Sylveon,1,3.73448E+11,7.91,40,5,,"unknown,unknown,unknown,unknown,Steven"
2026_01_31_r1,15,Jackson,2,Glacia,11,,20000,0,Vaporeon,2,3.73448E+11,7.91,40,5,,"unknown,unknown,Glacia"
2026_01_31_r1,15,Paddy,3,Archie,8,,20000,2100,Flareon,3,3.73448E+11,7.91,40,5,,
2026_01_31_r1,15,Christian,4,Flannery,5,,20000,900,,,3.73448E+11,7.91,40,5,,
2026_01_31_r1,15,Pavan,5,Brawly,2,,20000,1200,,,3.73448E+11,7.91,40,5,,
2026_02_09_r1,16,Jackson,1,HOF,14,2:56,20000,1000,Sylveon,3,,8.1,48,6,,"unknown,unknown,unknown,unknown,Steven,HOF"
2026_02_09_r1,16,Pavan,2,Tucker,11,,20000,0,Jolteon,2,,8.1,48,6,,"Spenser,Lucy,Tucker"
2026_02_09_r1,16,Primo,3,Brawly,6,,20000,0,Umbreon,4,,8.1,48,6,,
2026_02_09_r1,16,Paddy,4,Norman,4,,20000,100,,,,8.1,48,6,,
2026_02_09_r1,16,Austin,5,Norman,2,,20000,0,,,,8.1,48,6,,
2026_02_09_r1,16,Eli,6,Norman,6,,20000,0,,,,8.1,48,6,,
2026_02_15_r1,17,Pavan,1,Steven,13,,20000,0,Sylveon,1,2.25053E+11,8.2,56,7,,"Sidney,Phoebe,Glacia,Brandon,Steven"
2026_02_15_r1,17,Joey,2,Tucker,11,,20000,0,Vaporeon,4,2.25053E+11,8.2,56,7,,"Spenser,Lucy,Tucker"
2026_02_15_r1,17,Jackson,3,Sidney,9,,20000,0,Umbreon,3,2.25053E+11,8.2,56,7,,Sidney
2026_02_15_r1,17,Ely,4,Flannery,6,,20000,0,,,2.25053E+11,8.2,56,7,,
2026_02_15_r1,17,Christian,5,Wattson,6,,20000,0,Jolteon,2,2.25053E+11,8.2,56,7,,
2026_02_15_r1,17,Paddy,6,Norman,3,,20000,300,,,2.25053E+11,8.2,56,7,,
2026_02_15_r1,17,Eli,7,Norman,2,,20000,2500,,,2.25053E+11,8.2,56,7,,
2026_02_16_r1,18,Jackson,1,Drake,12,,20000,200,Jolteon,2,3.18452E+11,8.2,56,7,,"Sidney,Phoebe,Glacia,Drake"
2026_02_16_r1,18,Ely,2,Archie,8,,20000,300,Sylveon,1,3.18452E+11,8.2,56,7,,
2026_02_16_r1,18,Pavan,3,Brawly,8,,20000,1000,Flareon,3,3.18452E+11,8.2,56,7,,
2026_02_16_r1,18,Austin,4,Winona,7,,20000,300,Espeon,4,3.18452E+11,8.2,56,7,,
2026_02_16_r1,18,Paddy,5,Roxanne,4,,20000,0,,,3.18452E+11,8.2,56,7,,
2026_02_16_r1,18,Primo,6,Norman,3,,20000,0,,,3.18452E+11,8.2,56,7,,
2026_02_16_r1,18,Joey,7,Tate & Liza,3,,20000,0,,,3.18452E+11,8.2,56,7,,"Sidney,Phoebe,Tucker,Brandon,Steven"
2026_02_17_r1,19,Eli,1,Steven,13,,20000,0,Sylveon,1,8.44872E+11,8.2,24,3,,"Spenser,Phoebe,Glacia"
2026_02_17_r1,19,Ely,2,Glacia,11,,20000,0,Vaporeon,2,8.44872E+11,8.2,24,3,,
2026_02_17_r1,19,Jackson,3,Juan & Wallace,7,,20000,0,,,8.44872E+11,8.2,24,3,,
