order,pokemon,drafted_by,cost,run_id,was_egg
1,Minccino,Jackson,1500,2026_01_31_r1,
2,Bombirdier,Ely,2400,2026_01_31_r1,
3,Greavard,Ely,1800,2026_01_31_r1,
4,Tyrunt,Christian,2200,2026_01_31_r1,
5,Sneasel,Jackson,2400,2026_01_31_r1,
6,Growlithe,Pavan,2400,2026_01_31_r1,
7,Electrike,Pavan,2000,2026_01_31_r1,
8,Snorunt,Jackson,1700,2026_01_31_r1,
9,Mudkip,Jackson,3700,2026_01_31_r1,
10,Stufful,Paddy,2000,2026_01_31_r1,
11,Gossifleur,Ely,2600,2026_01_31_r1,
12,Rotom,Christian,4200,2026_01_31_r1,
13,Elgyem,Ely,2000,2026_01_31_r1,
14,Smeargle,Paddy,900,2026_01_31_r1,
15,Emolga,Ely,2500,2026_01_31_r1,
16,Buneary,Ely,1600,2026_01_31_r1,
17,Chespin,Ely,3800,2026_01_31_r1,
18,Stantler,Pavan,2300,2026_01_31_r1,
19,Slowpoke,Ely,2700,2026_01_31_r1,
20,Morelull,Christian,2500,2026_01_31_r1,
21,Blipbug,Jackson,2000,2026_01_31_r1,
22,Remoraid,Paddy,2400,2026_01_31_r1,
23,Pansear,Paddy,1900,2026_01_31_r1,
24,Sandygast,Christian,2600,2026_01_31_r1,
25,Treecko,Pavan,3500,2026_01_31_r1,
26,Staryu,Jackson,2400,2026_01_31_r1,
27,Venipede,Christian,1300,2026_01_31_r1,
28,Drilbur,Pavan,4200,2026_01_31_r1,
29,Sandile,Christian,3200,2026_01_31_r1,
30,Castform,Christian,3100,2026_01_31_r1,
31,Makuhita,Pavan,2300,2026_01_31_r1,
32,Clobbopus,Paddy,1300,2026_01_31_r1,
33,Grubbin,Paddy,2100,2026_01_31_r1,
34,Smoliv,Paddy,2300,2026_01_31_r1,
35,Nincada,Pavan,2100,2026_01_31_r1,
36,Klawf,Paddy,2300,2026_01_31_r1,
37,Wattrel,Jackson,2000,2026_01_31_r1,
38,Ralts,Paddy,2700,2026_01_31_r1,
39,Zorua,Jackson,2200,2026_01_31_r1,
40,Wynaut,Jackson,2100,2026_01_31_r1,1
