order,pokemon,drafted_by,cost,run_id,was_egg
1,Pancham,Pavan,1900,2026_01_11_r1,
2,Sizzlipede,Jackson,2000,2026_01_11_r1,
3,Shinx,Eli,2800,2026_01_11_r1,
4,Carvanha,Austin,2300,2026_01_11_r1,
5,Skiddo,Primo,2400,2026_01_11_r1,
6,Elgyem,Austin,1900,2026_01_11_r1,
7,Sewaddle,Pavan,1400,2026_01_11_r1,
8,Mawile,Christian,2200,2026_01_11_r1,
9,Ralts,Eli,4000,2026_01_11_r1,
10,Buizel,Pavan,1800,2026_01_11_r1,
11,Shroomish,Austin,2200,2026_01_11_r1,
12,Hatenna,Jackson,2100,2026_01_11_r1,
13,Aron,Primo,2700,2026_01_11_r1,
14,Surskit,Christian,1700,2026_01_11_r1,
15,Dewpider,Eli,2700,2026_01_11_r1,
16,Shellder,Christian,1400,2026_01_11_r1,
17,Solosis,Primo,2000,2026_01_11_r1,
18,Gastly,Primo,2700,2026_01_11_r1,
19,Morelull,Jackson,2000,2026_01_11_r1,
20,Scyther,Austin,2600,2026_01_11_r1,
21,Geodude,Christian,2000,2026_01_11_r1,
22,Growlithe,Christian,2700,2026_01_11_r1,
23,Slakoth,Eli,1800,2026_01_11_r1,
24,Clobbopus,Christian,1900,2026_01_11_r1,
25,Sandshrew,Austin,2700,2026_01_11_r1,
26,Jangmo-o,Pavan,1900,2026_01_11_r1,
27,Smeargle,Austin,1100,2026_01_11_r1,
28,Gible,Primo,3600,2026_01_11_r1,
29,Bulbasaur,Christian,3100,2026_01_11_r1,
30,Goomy,Jackson,2200,2026_01_11_r1,
31,Espurr,Austin,1900,2026_01_11_r1,
32,Grubbin,Christian,1900,2026_01_11_r1,
33,Buneary,Pavan,2000,2026_01_11_r1,
34,Blitzle,Pavan,2600,2026_01_11_r1,
35,Rockruff,Jackson,1900,2026_01_11_r1,
36,Sandile,Christian,3100,2026_01_11_r1,
37,Swirlix,Austin,1300,2026_01_11_r1,
38,Greavard,Primo,1700,2026_01_11_r1,
39,Vulpix,Austin,1900,2026_01_11_r1,
40,Tinkatink,Pavan,2400,2026_01_11_r1,
41,Starly,Jackson,2500,2026_01_11_r1,
42,Turtwig,Jackson,3400,2026_01_11_r1,
43,Oddish,Primo,2400,2026_01_11_r1,
44,Ekans,Primo,2500,2026_01_11_r1,
45,Machop,Jackson,3300,2026_01_11_r1,
46,Tentacool,Eli,2700,2026_01_11_r1,
47,Bounsweet,Pavan,6000,2026_01_11_r1,
48,Rolycoly,Eli,6000,2026_01_11_r1,
