order,pokemon,drafted_by,cost,run_id,was_egg
1,Murkrow,Paddy,1900,2026_01_05_r1,
2,Rotom,Primo,6600,2026_01_05_r1,
3,Torchic,Joey,5000,2026_01_05_r1,
4,Grubbin,Paddy,2300,2026_01_05_r1,
5,Starly,Pavan,2600,2026_01_05_r1,
6,Staryu,Eli,2500,2026_01_05_r1,
7,Scyther,Jackson,2800,2026_01_05_r1,
8,Bombirdier,Primo,3800,2026_01_05_r1,
9,Nosepass,Primo,1900,2026_01_05_r1,
10,Inkay,Christian,2100,2026_01_05_r1,
11,Scatterbug,Eli,3200,2026_01_05_r1,
12,Mudkip,Christian,5400,2026_01_05_r1,
13,Morelull,Jackson,2000,2026_01_05_r1,
14,Trubbish,Austin,1300,2026_01_05_r1,
15,Castform,Paddy,3200,2026_01_05_r1,
16,Slowpoke,Joey,2300,2026_01_05_r1,
17,Chespin,Jackson,3100,2026_01_05_r1,
18,Noibat,Joey,2200,2026_01_05_r1,
19,Machop,Paddy,2100,2026_01_05_r1,
20,Yanma,Jackson,2100,2026_01_05_r1,
21,Fennekin,Pavan,3100,2026_01_05_r1,
22,Houndour,Joey,2600,2026_01_05_r1,
23,Spheal,Joey,3400,2026_01_05_r1,
24,Totodile,Jackson,3100,2026_01_05_r1,
25,Ponyta,Austin,1700,2026_01_05_r1,
26,Fuecoco,Paddy,3300,2026_01_05_r1,
27,Mudbray,Joey,3300,2026_01_05_r1,
28,Archen,Paddy,1900,2026_01_05_r1,
29,Cubone,Pavan,2300,2026_01_05_r1,
30,Pichu,Austin,2300,2026_01_05_r1,1
31,Cacnea,Christian,2400,2026_01_05_r1,
32,Slakoth,Eli,1900,2026_01_05_r1,
33,Bagon,Primo,2000,2026_01_05_r1,
34,Meowth,Austin,2100,2026_01_05_r1,
35,Teddiursa,Primo,2200,2026_01_05_r1,
36,Buizel,Christian,1900,2026_01_05_r1,
37,Tyrunt,Austin,2100,2026_01_05_r1,
38,Chinchou,Jackson,1900,2026_01_05_r1,
39,Wingull,Jackson,2300,2026_01_05_r1,
40,Oddish,Austin,1900,2026_01_05_r1,
41,Sneasel,Austin,1800,2026_01_05_r1,
42,Froakie,Primo,3500,2026_01_05_r1,
43,Wattrel,Eli,1800,2026_01_05_r1,
44,Gible,Pavan,3400,2026_01_05_r1,
45,Squirtle,Austin,2100,2026_01_05_r1,
46,Tentacool,Austin,1400,2026_01_05_r1,
47,Drilbur,Austin,2300,2026_01_05_r1,
48,Lotad,Paddy,1300,2026_01_05_r1,
49,Spoink,Joey,1200,2026_01_05_r1,
50,Riolu,Christian,2000,2026_01_05_r1,1
51,Vulpix,Christian,2400,2026_01_05_r1,
52,Zubat,Eli,2300,2026_01_05_r1,
53,Mankey,Christian,1700,2026_01_05_r1,
54,Yamper,Pavan,2200,2026_01_05_r1,
55,Numel,Paddy,2200,2026_01_05_r1,
56,Fidough,Christian,2100,2026_01_05_r1,
57,Stufful,Eli,1100,2026_01_05_r1,
58,Snorunt,Paddy,1800,2026_01_05_r1,
59,Poliwag,Pavan,1800,2026_01_05_r1,
60,Bunnelby,Jackson,1300,2026_01_05_r1,
61,Hippopotas,Eli,1100,2026_01_05_r1,
62,Corsola,Eli,1200,2026_01_05_r1,
63,Wooper,Pavan,1700,2026_01_05_r1,
64,Phantump,Eli,4900,2026_01_05_r1,
