order,pokemon,drafted_by,cost,run_id,was_egg
1,Croagunk,Pavan,3500,2026_03_15_r1,
2,Cutiefly,Ely,2800,2026_03_15_r1,
3,Magby,Ely,2700,2026_03_15_r1,
4,Goomy,Joey,2300,2026_03_15_r1,
5,Torchic,Jackson,3900,2026_03_15_r1,
6,Geodude,Ely,3200,2026_03_15_r1,
7,Aron,Joey,3200,2026_03_15_r1,
8,Bounsweet,Ely,2800,2026_03_15_r1,
9,Magnemite,Joey,3000,2026_03_15_r1,
10,Skiddo,Jackson,3000,2026_03_15_r1,
11,Bagon,Austin,3400,2026_03_15_r1,
12,Cottonee,Pavan,2500,2026_03_15_r1,
13,Litwick,Joey,3200,2026_03_15_r1,
14,Pichu,Austin,1800,2026_03_15_r1,
15,Trubbish,Austin,1500,2026_03_15_r1,
16,Chespin,Austin,3500,2026_03_15_r1,
17,Greavard,Austin,2000,2026_03_15_r1,
18,Fennekin,Pavan,3600,2026_03_15_r1,
19,Lillipup,Pavan,2300,2026_03_15_r1,
20,Starly,Ely,2600,2026_03_15_r1,
21,Blitzle,Joey,1900,2026_03_15_r1,
22,Vulpix,Joey,2300,2026_03_15_r1,
23,Piplup,Austin,2400,2026_03_15_r1,
24,Popplio,Jackson,3200,2026_03_15_r1,
25,Diglett,Austin,1300,2026_03_15_r1,
26,Shroodle,Jackson,1700,2026_03_15_r1,
27,Hatenna,Joey,2000,2026_03_15_r1,
28,Tentacool,Pavan,2500,2026_03_15_r1,
29,Morelull,Jackson,1500,2026_03_15_r1,
30,Rockruff,Joey,1200,2026_03_15_r1,
31,Corsola,Pavan,2100,2026_03_15_r1,
32,Ralts,Jackson,3900,2026_03_15_r1,
33,Mudbray,Austin,3200,2026_03_15_r1,
34,Venipede,Pavan,1100,2026_03_15_r1,
35,Flabebe,Ely,1000,2026_03_15_r1,
36,Frillish,Ely,2900,2026_03_15_r1,
37,Skrelp,Ely,2000,2026_03_15_r1,
38,Blipbug,Jackson,1000,2026_03_15_r1,
39,Cacnea,Jackson,1000,2026_03_15_r1,
40,Scyther,Pavan,2400,2026_03_15_r1,
