order,pokemon,drafted_by,cost,run_id,was_egg
1,Clauncher,Austin,2000,2026_03_08_r1,
2,Grubbin,Pavan,2500,2026_03_08_r1,
3,Paras,Jackson,1900,2026_03_08_r1,
4,Jangmo-o,Primo,2500,2026_03_08_r1,
5,Zubat,Jackson,2400,2026_03_08_r1,
6,Feebas,Primo,2600,2026_03_08_r1,
7,Mantyke,Jackson,2500,2026_03_08_r1,
8,Tirtouga,Pavan,2100,2026_03_08_r1,
9,Litleo,Pavan,1900,2026_03_08_r1,
10,Drilbur,Primo,3200,2026_03_08_r1,
11,Impidimp,Jackson,2000,2026_03_08_r1,
12,Stufful,Christian,2000,2026_03_08_r1,
13,Turtwig,Jackson,2900,2026_03_08_r1,
14,Rolycoly,Christian,2300,2026_03_08_r1,
15,Lotad,Pavan,2100,2026_03_08_r1,
16,Snorunt,Primo,2100,2026_03_08_r1,
17,Machop,Austin,1900,2026_03_08_r1,
18,Buizel,Christian,2000,2026_03_08_r1,
19,Skrelp,Austin,2200,2026_03_08_r1,
20,Chespin,Pavan,3100,2026_03_08_r1,
21,Mime Jr,Christian,1100,2026_03_08_r1,
22,Pichu,Christian,2100,2026_03_08_r1,
23,Spheal,Jackson,2000,2026_03_08_r1,
24,Fennekin,Pavan,2900,2026_03_08_r1,
25,Elgyem,Austin,1800,2026_03_08_r1,
26,Zorua,Primo,1700,2026_03_08_r1,
27,Croagunk,Pavan,3000,2026_03_08_r1,
28,Treecko,Austin,2800,2026_03_08_r1,
29,Hatenna,Christian,1600,2026_03_08_r1,
30,Fuecoco,Jackson,2800,2026_03_08_r1,
31,Carvanha,Primo,2400,2026_03_08_r1,
32,Tyrunt,Christian,2300,2026_03_08_r1,
33,Shroomish,Primo,2400,2026_03_08_r1,
34,Vulpix,Primo,2100,2026_03_08_r1,
35,Onix,Austin,2000,2026_03_08_r1,
36,Phantump,Austin,4600,2026_03_08_r1,
37,Aron,Pavan,3600,2026_03_08_r1,
38,Weedle,Primo,3100,2026_03_08_r1,
39,Beldum,Christian,4500,2026_03_08_r1,
40,Minccino,Jackson,3500,2026_03_08_r1,
