order,pokemon,drafted_by,cost,run_id,was_egg
1,Timburr,Paddy,2600,2026_02_27_r1,
2,Bagon,Jackson,2500,2026_02_27_r1,
3,Zigzagoon,Pavan,3300,2026_02_27_r1,
4,Clauncher,Pavan,2700,2026_02_27_r1,
5,Froakie,Austin,3000,2026_02_27_r1,
6,Bunnelby,Paddy,2100,2026_02_27_r1,
7,Buizel,Paddy,2000,2026_02_27_r1,
8,Jangmo-o,Jackson,2500,2026_02_27_r1,
9,Diglett,Paddy,2000,2026_02_27_r1,
10,Miltank,Jackson,2500,2026_02_27_r1,
11,Rookidee,Austin,2000,2026_02_27_r1,
12,Scyther,Pavan,2800,2026_02_27_r1,
13,Bounsweet,Pavan,2500,2026_02_27_r1,
14,Turtwig,Jackson,2700,2026_02_27_r1,
15,Oddish,Austin,2400,2026_02_27_r1,
16,Spritzee,Jackson,2700,2026_02_27_r1,
17,Sewaddle,Paddy,1800,2026_02_27_r1,
18,Voltorb,Paddy,1600,2026_02_27_r1,
19,Squirtle,Austin,2600,2026_02_27_r1,
20,Poochyena,Jackson,2300,2026_02_27_r1,
21,Chimchar,Austin,3100,2026_02_27_r1,
22,Wattrel,Jackson,2500,2026_02_27_r1,
23,Corphish,Austin,2000,2026_02_27_r1,
24,Torchic,Pavan,3100,2026_02_27_r1,
25,Mankey,Paddy,2400,2026_02_27_r1,
26,Solosis,Pavan,1800,2026_02_27_r1,
27,Minior,Jackson,2300,2026_02_27_r1,
28,Shuppet,Paddy,2000,2026_02_27_r1,
29,Shellder,Paddy,1100,2026_02_27_r1,
30,Magby,Pavan,2500,2026_02_27_r1,1
31,Phantump,Austin,2500,2026_02_27_r1,
32,Gothita,Paddy,2400,2026_02_27_r1,
