order,pokemon,drafted_by,cost,run_id,was_egg
1,Espurr,Austin,2000,2026_03_21_r2,
2,Solosis,Eli,1900,2026_03_21_r2,
3,Archen,Eli,3800,2026_03_21_r2,
4,Cubone,Eli,2500,2026_03_21_r2,
5,Chinchou,Ely,3100,2026_03_21_r2,
6,Minior,Ely,3400,2026_03_21_r2,
7,Munchlax,Eli,3400,2026_03_21_r2,
8,Spoink,Austin,1700,2026_03_21_r2,
9,Burmy,Pavan,2600,2026_03_21_r2,
10,Tentacool,Austin,2800,2026_03_21_r2,
11,Murkrow,Austin,1800,2026_03_21_r2,
12,Sandygast,Austin,2300,2026_03_21_r2,
13,Elekid,Eli,2600,2026_03_21_r2,
14,Rowlet,Eli,3300,2026_03_21_r2,
15,Bonsly,Eli,1200,2026_03_21_r2,
16,Numel,Austin,2300,2026_03_21_r2,
17,Turtwig,Jackson,3600,2026_03_21_r2,
18,Tympole,Pavan,3000,2026_03_21_r2,
19,Pancham,Ely,2100,2026_03_21_r2,
20,Poochyena,Jackson,2600,2026_03_21_r2,
21,Smoliv,Pavan,2900,2026_03_21_r2,
22,Spritzee,Christian,2900,2026_03_21_r2,
23,Bagon,Jackson,3900,2026_03_21_r2,
24,Cetoddle,Pavan,2100,2026_03_21_r2,
25,Farfetch'd-Galar,Christian,1900,2026_03_21_r2,
26,Cottonee,Ely,2100,2026_03_21_r2,
27,Sneasel,Austin,1900,2026_03_21_r2,
28,Buneary,Christian,1400,2026_03_21_r2,
29,Impidimp,Christian,2400,2026_03_21_r2,
30,Makuhita,Austin,2100,2026_03_21_r2,
31,Mawile,Christian,2400,2026_03_21_r2,
32,Zorua,Christian,2000,2026_03_21_r2,
33,Sandile,Ely,3500,2026_03_21_r2,
34,Oddish,Christian,2000,2026_03_21_r2,
35,Chewtle,Christian,3000,2026_03_21_r2,
36,Minccino,Christian,2000,2026_03_21_r2,
37,Flabebe,Pavan,2500,2026_03_21_r2,
38,Nincada,Pavan,2400,2026_03_21_r2,
39,Amaura,Eli,1300,2026_03_21_r2,
40,Beldum,Ely,3600,2026_03_21_r2,
41,Mudbray,Jackson,3600,2026_03_21_r2,
42,Shroodle,Jackson,2500,2026_03_21_r2,
43,Tinkatink,Ely,2200,2026_03_21_r2,
44,Paras,Jackson,1500,2026_03_21_r2,
45,Skiddo,Austin,2400,2026_03_21_r2,
46,Fuecoco,Pavan,2400,2026_03_21_r2,
47,Clamperl,Jackson,800,2026_03_21_r2,
48,Fidough,Pavan,2100,2026_03_21_r2,
