order,pokemon,drafted_by,cost,run_id,was_egg
1,Chinchou,Ely,3100,2026_03_26_r2,
2,Blitzle,Primo,1100,2026_03_26_r2,
3,Dewpider,Primo,4000,2026_03_26_r2,
4,Aron,Ely,3200,2026_03_26_r2,
5,Yanma,Ely,2000,2026_03_26_r2,
6,Litwick,Ely,2600,2026_03_26_r2,
7,Yamper,Pavan,1100,2026_03_26_r2,
8,Snorunt,Primo,1500,2026_03_26_r2,
9,Goomy,Ely,3000,2026_03_26_r2,
10,Turtwig,Primo,2900,2026_03_26_r2,
11,Salandit,Pavan,2000,2026_03_26_r2,
12,Magby,Pavan,2500,2026_03_26_r2,
13,Minccino,Ely,900,2026_03_26_r2,
14,Ponyta,Primo,1400,2026_03_26_r2,
15,Farfetch'd,Pavan,1900,2026_03_26_r2,
16,Buizel,Pavan,1700,2026_03_26_r2,
17,Varoom,Pavan,1800,2026_03_26_r2,
18,Fennekin,Primo,2600,2026_03_26_r2,
19,Chewtle,Pavan,1500,2026_03_26_r2,
20,Applin,Ely,5200,2026_03_26_r2,
21,Impidimp,Pavan,1000,2026_03_26_r2,
22,Flabebe,Pavan,4500,2026_03_26_r2,
23,Archen,Primo,5600,2026_03_26_r2,
24,Espurr,Pavan,2000,2026_03_26_r2,
