order,pokemon,drafted_by,cost,run_id,was_egg
1,Makuhita,Pavan,2600,2026_03_01_r1,
2,Blitzle,Ely,2100,2026_03_01_r1,
3,Tyrunt,Pavan,2600,2026_03_01_r1,
4,Tynamo,Primo,2700,2026_03_01_r1,
5,Bagon,Ely,2900,2026_03_01_r1,
6,Tympole,Ely,3500,2026_03_01_r1,
7,Shuppet,Paddy,2100,2026_03_01_r1,
8,Pichu,Paddy,2900,2026_03_01_r1,
9,Salandit,Ely,2500,2026_03_01_r1,
10,Vulpix,Paddy,2100,2026_03_01_r1,
11,Growlithe,Christian,2700,2026_03_01_r1,
12,Bounsweet,Primo,2700,2026_03_01_r1,
13,Slowpoke,Paddy,2600,2026_03_01_r1,
14,Oddish,Paddy,2100,2026_03_01_r1,
15,Beldum,Ely,3100,2026_03_01_r1,
16,Gible,Primo,4500,2026_03_01_r1,
17,Budew,Pavan,2300,2026_03_01_r1,
18,Pansear,Jackson,2300,2026_03_01_r1,
19,Buizel,Paddy,2300,2026_03_01_r1,
20,Yamper,Christian,2100,2026_03_01_r1,
21,Stantler,Primo,3300,2026_03_01_r1,
22,Applin,Ely,2800,2026_03_01_r1,
23,Inkay,Paddy,2200,2026_03_01_r1,
24,Chimchar,Christian,3200,2026_03_01_r1,
25,Slakoth,Jackson,2000,2026_03_01_r1,
26,Poliwag,Jackson,3000,2026_03_01_r1,
27,Espurr,Paddy,2100,2026_03_01_r1,
28,Hattena,Pavan,2100,2026_03_01_r1,
29,Smoliv,Jackson,3000,2026_03_01_r1,
30,Misdreavus,Primo,2000,2026_03_01_r1,
31,Snover,Christian,1700,2026_03_01_r1,
32,Chingling,Jackson,2000,2026_03_01_r1,
33,Mareep,Pavan,2600,2026_03_01_r1,
34,Paras,Jackson,2000,2026_03_01_r1,
35,Remoraid,Jackson,2000,2026_03_01_r1,
36,Shroodle,Jackson,1900,2026_03_01_r1,
37,Farfetch'd-Galar,Christian,2000,2026_03_01_r1,
38,Cubone,Primo,1700,2026_03_01_r1,
39,Sandile,Pavan,2300,2026_03_01_r1,
40,Morelull,Christian,1700,2026_03_01_r1,
41,Corphish,Pavan,3200,2026_03_01_r1,
42,Hippopotas,Ely,2000,2026_03_01_r1,
43,Buneary,Paddy,1600,2026_03_01_r1,
44,Rookidee,Pavan,2300,2026_03_01_r1,
45,Gastly,Christian,2200,2026_03_01_r1,
46,Munchlax,Primo,3100,2026_03_01_r1,
47,Murkrow,Christian,2200,2026_03_01_r1,
48,Geodude,Christian,2200,2026_03_01_r1,
