order,pokemon,drafted_by,cost,run_id,was_egg
1,Aron,Ely,3300,2026_03_13_r2,
2,Skrelp,Primo,2400,2026_03_13_r2,
3,Spoink,Primo,2000,2026_03_13_r2,
4,Swinub,Pavan,2700,2026_03_13_r2,
5,Sandygast,Primo,2300,2026_03_13_r2,
6,Lotad,Ely,2700,2026_03_13_r2,
7,Spheal,Jackson,2500,2026_03_13_r2,
8,Numel,Pavan,2300,2026_03_13_r2,
9,Chinchou,Ely,3300,2026_03_13_r2,
10,Chespin,Jackson,3400,2026_03_13_r2,
11,Gastly,Primo,2300,2026_03_13_r2,
12,Buneary,Austin,1600,2026_03_13_r2,
13,Yanma,Primo,1800,2026_03_13_r2,
14,Sneasel,Ely,2800,2026_03_13_r2,
15,Charcadet,Jackson,3600,2026_03_13_r2,
16,Yamper,Christian,2000,2026_03_13_r2,
17,Meowth,Pavan,2100,2026_03_13_r2,
18,Magnemite,Austin,2900,2026_03_13_r2,
19,Castform,Austin,3400,2026_03_13_r2,
20,Staryu,Pavan,2600,2026_03_13_r2,
21,Scyther,Pavan,2700,2026_03_13_r2,
22,Roggenrola,Jackson,2100,2026_03_13_r2,
23,Sandshrew,Pavan,2500,2026_03_13_r2,
24,Nosepass,Primo,2500,2026_03_13_r2,
25,Slakoth,Jackson,1800,2026_03_13_r2,
26,Litten,Ely,3300,2026_03_13_r2,
27,Amaura,Austin,2100,2026_03_13_r2,
28,Salandit,Christian,2000,2026_03_13_r2,
29,Rowlet,Pavan,3100,2026_03_13_r2,
30,Solosis,Austin,1800,2026_03_13_r2,
31,Machop,Christian,2600,2026_03_13_r2,
32,Plusle and Minun,Austin,2800,2026_03_13_r2,
33,Shroodle,Primo,2000,2026_03_13_r2,
34,Spritzee,Jackson,2500,2026_03_13_r2,
35,Mudbray,Austin,2800,2026_03_13_r2,
36,Joltik,Primo,1700,2026_03_13_r2,
37,Timburr,Ely,1600,2026_03_13_r2,
38,Paras,Jackson,1600,2026_03_13_r2,
39,Cacnea,Primo,3000,2026_03_13_r2,
40,Applin,Christian,2900,2026_03_13_r2,
41,Froakie,Christian,3100,2026_03_13_r2,
42,Chewtle,Jackson,2500,2026_03_13_r2,
43,Cutiefly,Christian,3000,2026_03_13_r2,
44,Nickit,Ely,700,2026_03_13_r2,
45,Poochyena,Ely,2300,2026_03_13_r2,
46,Ponyta,Pavan,2000,2026_03_13_r2,
47,Poliwag,Christian,2700,2026_03_13_r2,
48,Tyrunt,Austin,2600,2026_03_13_r2,
