order,pokemon,drafted_by,cost,run_id,was_egg
1,Diglett,Primo,1800,2026_02_21_r1,
2,Bounsweet,Eli,2500,2026_02_21_r1,
3,Elgyem,Christian,1400,2026_02_21_r1,
4,Tentacool,Pavan,2400,2026_02_21_r1,
5,Trapinch,Primo,2800,2026_02_21_r1,
6,Growlithe,Pavan,2800,2026_02_21_r1,
7,Shroodle,Pavan,1700,2026_02_21_r1,
8,Fletchling,Christian,2000,2026_02_21_r1,
9,Swirlix,Pavan,2000,2026_02_21_r1,
10,Gible,Christian,4200,2026_02_21_r1,
11,Meowth,Primo,1500,2026_02_21_r1,
12,Popplio,Eli,3800,2026_02_21_r1,
13,Turtonator,Eli,2800,2026_02_21_r1,
14,Mawile,Eli,2500,2026_02_21_r1,
15,Drilbur,Pavan,3500,2026_02_21_r1,
16,Nosepass,Primo,2400,2026_02_21_r1,
17,Electrike,Primo,2700,2026_02_21_r1,
18,Helioptile,Christian,2100,2026_02_21_r1,
19,Piplup,Primo,3900,2026_02_21_r1,
20,Meditite,Christian,2200,2026_02_21_r1,
21,Smoliv,Pavan,2900,2026_02_21_r1,
22,Wingull,Primo,2100,2026_02_21_r1,
23,Surskit,Pavan,1500,2026_02_21_r1,
24,Mudbray,Eli,2900,2026_02_21_r1,
25,Chespin,Christian,3100,2026_02_21_r1,
26,Paras,Eli,900,2026_02_21_r1,
27,Nymble,Primo,2800,2026_02_21_r1,
28,Joltik,Christian,1600,2026_02_21_r1,
29,Bulbasaur,Eli,3300,2026_02_21_r1,
30,Snorunt,Eli,1300,2026_02_21_r1,
31,Squirtle,Pavan,3100,2026_02_21_r1,
32,Cubone,Christian,3400,2026_02_21_r1,
