order,pokemon,drafted_by,cost,run_id,was_egg
1,Poliwag,Austin,2500,2026_03_22_r1,
2,Elekid,Pavan,2300,2026_03_22_r1,
3,Electrike,Austin,1600,2026_03_22_r1,
4,Salandit,Ely,2600,2026_03_22_r1,
5,Fidough,Pavan,2400,2026_03_22_r1,
6,Skiddo,Ely,3000,2026_03_22_r1,
7,Bonsly,Pavan,1100,2026_03_22_r1,
8,Blitzle,Jackson,1500,2026_03_22_r1,
9,Mudkip,Austin,3600,2026_03_22_r1,
10,Drifloon,Jackson,2100,2026_03_22_r1,
11,Grubbin,Ely,2000,2026_03_22_r1,
12,Archen,Jackson,3400,2026_03_22_r1,
13,Clamperl,Pavan,1300,2026_03_22_r1,
14,Popplio,Ely,3600,2026_03_22_r1,
15,Helioptile,Austin,1000,2026_03_22_r1,
16,Shroodle,Austin,2600,2026_03_22_r1,
17,Porygon,Jackson,3000,2026_03_22_r1,
18,Froakie,Pavan,3200,2026_03_22_r1,
19,Venipede,Ely,1300,2026_03_22_r1,
20,Totodile,Austin,2400,2026_03_22_r1,
21,Zigzagoon,Ely,3600,2026_03_22_r1,
22,Flabebe,Pavan,2600,2026_03_22_r1,
23,Misdreavus,Jackson,1900,2026_03_22_r1,
24,Cufant,Jackson,1200,2026_03_22_r1,
25,Spheal,Jackson,2300,2026_03_22_r1,
26,Scatterbug,Pavan,1700,2026_03_22_r1,
27,Rowlet,Austin,2700,2026_03_22_r1,
28,Mantyke,Austin,1600,2026_03_22_r1,
29,Ponyta,Ely,2200,2026_03_22_r1,
30,Beldum,Jackson,4600,2026_03_22_r1,
31,Staryu,Pavan,2100,2026_03_22_r1,
32,Gastly,Pavan,3300,2026_03_22_r1,
