order,pokemon,drafted_by,cost,run_id,was_egg
1,Yamper,Jackson,2000,2026_03_14_r1,
2,Inkay,Paddy,2000,2026_03_14_r1,
3,Tentacool,Jackson,3100,2026_03_14_r1,
4,Sandshrew,Austin,2500,2026_03_14_r1,
5,Chingling,Paddy,1600,2026_03_14_r1,
6,Swinub,Paddy,3100,2026_03_14_r1,
7,Remoraid,Paddy,2100,2026_03_14_r1,
8,Voltorb,Austin,1900,2026_03_14_r1,
9,Poochyena,Ely,2700,2026_03_14_r1,
10,Swirlix,Jackson,2700,2026_03_14_r1,
11,Bonsly,Ely,1100,2026_03_14_r1,
12,Spheal,Ely,2800,2026_03_14_r1,
13,Flabebe,Paddy,1800,2026_03_14_r1,
14,Totodile,Austin,2500,2026_03_14_r1,
15,Exeggcute,Ely,3300,2026_03_14_r1,
16,Rookidee,Paddy,1800,2026_03_14_r1,
17,Treecko,Austin,2600,2026_03_14_r1,
18,Clauncher,Jackson,1700,2026_03_14_r1,
19,Phantump,Jackson,3300,2026_03_14_r1,
20,Rolycoly,Paddy,2700,2026_03_14_r1,
21,Mantyke,Ely,2300,2026_03_14_r1,
22,Zubat,Austin,2000,2026_03_14_r1,
23,Scatterbug,Jackson,1700,2026_03_14_r1,
24,Bagon,Ely,3500,2026_03_14_r1,
25,Nincada,Austin,1600,2026_03_14_r1,
26,Starly,Jackson,1800,2026_03_14_r1,
27,Weedle,Paddy,1100,2026_03_14_r1,
28,Skiddo,Austin,2000,2026_03_14_r1,
29,Wooper,Ely,4300,2026_03_14_r1,
30,Rockruff,Jackson,3700,2026_03_14_r1,
31,Gible,Austin,3900,2026_03_14_r1,
32,Shellder,Paddy,1100,2026_03_14_r1,
