order,pokemon,drafted_by,cost,run_id,was_egg
1,Espurr,Ely,1900,2026_03_02_r1,
2,Skorupi,Ely,2000,2026_03_02_r1,
3,Rolycoly,Jackson,3000,2026_03_02_r1,
4,Venipede,Pavan,200,2026_03_02_r1,
5,Sandygast,Pavan,2200,2026_03_02_r1,
6,Totodile,Ely,2900,2026_03_02_r1,
7,Gossifleur,Ely,2900,2026_03_02_r1,
8,Fidough,Pavan,2400,2026_03_02_r1,
9,Pikipek,Pavan,1800,2026_03_02_r1,
10,Scatterbug,Jackson,2000,2026_03_02_r1,
11,Nincada,Ely,2000,2026_03_02_r1,
12,Emolga,Jackson,2700,2026_03_02_r1,
13,Amaura,Pavan,1800,2026_03_02_r1,
14,Cufant,Jackson,1300,2026_03_02_r1,
15,Fletchling,Jackson,1300,2026_03_02_r1,
16,Frillish,Jackson,3600,2026_03_02_r1,
17,Elgyem,Ely,1000,2026_03_02_r1,
18,Flabebe,Pavan,2200,2026_03_02_r1,
19,Purrloin,Jackson,1500,2026_03_02_r1,
20,Shroodle,Pavan,1400,2026_03_02_r1,
21,Rockruff,Ely,3000,2026_03_02_r1,
22,Grubbin,Jackson,4600,2026_03_02_r1,
23,Piplup,Pavan,4400,2026_03_02_r1,
24,Wingull,Ely,4300,2026_03_02_r1,
