order,pokemon,drafted_by,cost,run_id,was_egg
1,Slowpoke,Paddy,2400,2026_03_27_r1,
2,Rockruff,Christian,1300,2026_03_27_r1,
3,Budew,Primo,3200,2026_03_27_r1,
4,Rolycoly,Jackson,2800,2026_03_27_r1,
5,Tinkatink,Paddy,2500,2026_03_27_r1,
6,Helioptile,Christian,2000,2026_03_27_r1,
7,Burmy,Pavan,2500,2026_03_27_r1,
8,Applin,Jackson,3300,2026_03_27_r1,
9,Shroomish,Pavan,3100,2026_03_27_r1,
10,Mudbray,Primo,3400,2026_03_27_r1,
11,Zubat,Primo,2300,2026_03_27_r1,
12,Gible,Paddy,4200,2026_03_27_r1,
13,Wingull,Pavan,2900,2026_03_27_r1,
14,Nickit,Paddy,2200,2026_03_27_r1,
15,Togepi,Jackson,2500,2026_03_27_r1,1
16,Pancham,Christian,2200,2026_03_27_r1,
17,Timburr,Paddy,2000,2026_03_27_r1,
18,Geodude,Pavan,2900,2026_03_27_r1,
19,Lillipup,Christian,2000,2026_03_27_r1,
20,Zigzagoon,Primo,4200,2026_03_27_r1,
21,Starly,Pavan,2500,2026_03_27_r1,
22,Litwick,Pavan,2700,2026_03_27_r1,
23,Exeggcute,Jackson,2900,2026_03_27_r1,
24,Grubbin,Paddy,2500,2026_03_27_r1,
25,Tynamo,Christian,2200,2026_03_27_r1,
26,Blitzle,Primo,1900,2026_03_27_r1,
27,Fidough,Christian,2000,2026_03_27_r1,
28,Sewaddle,Christian,1600,2026_03_27_r1,
29,Bonsly,Paddy,1200,2026_03_27_r1,
30,Mankey,Primo,2700,2026_03_27_r1,
31,Nymble,Pavan,1800,2026_03_27_r1,
32,Fennekin,Christian,3200,2026_03_27_r1,
33,Voltorb,Christian,3000,2026_03_27_r1,
34,Cutiefly,Primo,2300,2026_03_27_r1,
35,Phantump,Paddy,3000,2026_03_27_r1,
36,Swinub,Jackson,1700,2026_03_27_r1,
37,Mime Jr,Jackson,1700,2026_03_27_r1,
38,Bunnelby,Jackson,1700,2026_03_27_r1,
39,Numel,Jackson,1700,2026_03_27_r1,
40,Froakie,Jackson,1700,2026_03_27_r1,
