order,pokemon,drafted_by,cost,run_id,was_egg
1,Torchic,Ely,3400,2026_03_13_r1,
2,Mankey,Primo,3300,2026_03_13_r1,
3,Helioptile,Ely,2100,2026_03_13_r1,
4,Cleffa,Austin,2500,2026_03_13_r1,1
5,Geodude,Ely,2500,2026_03_13_r1,
6,Fennekin,Primo,3800,2026_03_13_r1,
7,Blipbug,Ely,2600,2026_03_13_r1,
8,Greavard,Austin,2200,2026_03_13_r1,
9,Pansear,Jackson,1900,2026_03_13_r1,
10,Rockruff,Jackson,2000,2026_03_13_r1,
11,Snover,Austin,1500,2026_03_13_r1,
12,Phanpy,Primo,2700,2026_03_13_r1,
13,Plusle and Minun,Primo,4000,2026_03_13_r1,
14,Frillish,Primo,3600,2026_03_13_r1,
15,Meowth,Jackson,1500,2026_03_13_r1,
16,Houndour,Austin,2000,2026_03_13_r1,
17,Budew,Austin,2700,2026_03_13_r1,
18,Zorua,Jackson,1900,2026_03_13_r1,
19,Noibat,Austin,2000,2026_03_13_r1,
20,Charmander,Jackson,3000,2026_03_13_r1,
21,Nymble,Austin,2100,2026_03_13_r1,
22,Morelull,Ely,2100,2026_03_13_r1,
23,Scatterbug,Jackson,2200,2026_03_13_r1,
24,Mudbray,Jackson,3600,2026_03_13_r1,
25,Bonsly,Austin,1200,2026_03_13_r1,
26,Mime Jr,Primo,1200,2026_03_13_r1,
27,Aron,Ely,2400,2026_03_13_r1,
28,Feebas,Austin,2000,2026_03_13_r1,
29,Honedge,Ely,2500,2026_03_13_r1,
30,Togepi,Jackson,1900,2026_03_13_r1,1
31,Inkay,Jackson,2000,2026_03_13_r1,
32,Chespin,Ely,2400,2026_03_13_r1,
