order,pokemon,drafted_by,cost,run_id,was_egg
1,Nickit,Ely,2100,2026_03_06_r1,
2,Salandit,Ely,2800,2026_03_06_r1,
3,Croagunk,Pavan,3100,2026_03_06_r1,
4,Makuhita,Eli,2300,2026_03_06_r1,
5,Clobbopus,Ely,2000,2026_03_06_r1,
6,Nincada,Pavan,2100,2026_03_06_r1,
7,Litleo,Pavan,2200,2026_03_06_r1,
8,Feebas,Eli,2600,2026_03_06_r1,
9,Helioptile,Paddy,1900,2026_03_06_r1,
10,Sableye,Austin,1700,2026_03_06_r1,
11,Togepi,Austin,2500,2026_03_06_r1,1
12,Meditite,Paddy,2200,2026_03_06_r1,
13,Wingull,Pavan,3000,2026_03_06_r1,
14,Ponyta,Ely,2500,2026_03_06_r1,
15,Mudkip,Primo,4200,2026_03_06_r1,
16,Bunnelby,Ely,2600,2026_03_06_r1,
17,Applin,Ely,3700,2026_03_06_r1,
18,Oddish,Paddy,2500,2026_03_06_r1,
19,Rowlet,Eli,2600,2026_03_06_r1,
20,Shinx,Ely,3000,2026_03_06_r1,
21,Snivy,Christian,2700,2026_03_06_r1,
22,Scyther,Paddy,2900,2026_03_06_r1,
23,Poochyena,Pavan,2400,2026_03_06_r1,
24,Growlithe,Primo,3000,2026_03_06_r1,
25,Chewtle,Paddy,2100,2026_03_06_r1,
26,Mudbray,Austin,3400,2026_03_06_r1,
27,Wattrel,Eli,2500,2026_03_06_r1,
28,Munchlax,Eli,2500,2026_03_06_r1,
29,Litwick,Pavan,3000,2026_03_06_r1,
30,Tentacool,Eli,2300,2026_03_06_r1,
31,Grubbin,Paddy,2300,2026_03_06_r1,
32,Torchic,Christian,3000,2026_03_06_r1,
33,Minccino,Austin,1600,2026_03_06_r1,
34,Snubbull,Christian,2400,2026_03_06_r1,
35,Tympole,Christian,3000,2026_03_06_r1,
36,Tinkatink,Paddy,2200,2026_03_06_r1,
37,Buizel,Primo,1700,2026_03_06_r1,
38,Pichu,Primo,3000,2026_03_06_r1,
39,Fletchling,Eli,1900,2026_03_06_r1,
40,Tynamo,Austin,2200,2026_03_06_r1,
41,Spritzee,Pavan,2700,2026_03_06_r1,
42,Rookidee,Austin,2000,2026_03_06_r1,
43,Wailmer,Austin,1900,2026_03_06_r1,
44,Carvanha,Austin,2000,2026_03_06_r1,
45,Drifloon,Primo,2000,2026_03_06_r1,
46,Geodude,Paddy,2100,2026_03_06_r1,
47,Wishiwashi,Christian,1800,2026_03_06_r1,
48,Starly,Christian,2200,2026_03_06_r1,
49,Gible,Christian,3400,2026_03_06_r1,
50,Nymble,Primo,1900,2026_03_06_r1,
51,Cetoddle,Primo,1900,2026_03_06_r1,
52,Shuppet,Primo,1900,2026_03_06_r1,
53,Teddiursa,Paddy,1800,2026_03_06_r1,
54,Rotom,Eli,3300,2026_03_06_r1,
55,Popplio,Austin,2700,2026_03_06_r1,
56,Chinchou,Pavan,1500,2026_03_06_r1,
