order,pokemon,drafted_by,cost,run_id,was_egg
1,Exeggcute,Austin,2500,2026_03_10_r1,
2,Rockruff,Paddy,2500,2026_03_10_r1,
3,Wattrel,Eli,2500,2026_03_10_r1,
4,Tinkatink,Eli,2500,2026_03_10_r1,
5,Rolycoly,Paddy,2200,2026_03_10_r1,
6,Snivy,Eli,2800,2026_03_10_r1,
7,Burmy,Austin,1900,2026_03_10_r1,
8,Litwick,Eli,2800,2026_03_10_r1,
9,Surskit,Paddy,2000,2026_03_10_r1,
10,Beldum,Eli,2800,2026_03_10_r1,
11,Cubone,Paddy,2200,2026_03_10_r1,
12,Litleo,Eli,1500,2026_03_10_r1,
13,Cutiefly,Eli,700,2026_03_10_r1,
14,Spritzee,Eli,2300,2026_03_10_r1,
15,Trapinch,Austin,2200,2026_03_10_r1,
16,Swinub,Paddy,2200,2026_03_10_r1,
17,Zigzagoon,Austin,2200,2026_03_10_r1,
18,Yanma,Austin,2200,2026_03_10_r1,
19,Sandile,Austin,2200,2026_03_10_r1,
20,Nickit,Paddy,2200,2026_03_10_r1,
21,Sizzlipede,Austin,2200,2026_03_10_r1,
22,Mareep,Paddy,2200,2026_03_10_r1,
23,Bounsweet,Austin,2200,2026_03_10_r1,
24,Shroomish,Paddy,4500,2026_03_10_r1,
