order,pokemon,drafted_by,cost,run_id,was_egg
1,Minior,Jackson,2300,2026_02_26_r1,
2,Beldum,Ely,3000,2026_02_26_r1,
3,Pansear,Ely,2300,2026_02_26_r1,
4,Drilbur,Pavan,3000,2026_02_26_r1,
5,Clamperl,Eli,1900,2026_02_26_r1,
6,Slakoth,Eli,1600,2026_02_26_r1,
7,Meowth,Ely,2000,2026_02_26_r1,
8,Electrike,Pavan,2000,2026_02_26_r1,
9,Hawlucha,Pavan,2200,2026_02_26_r1,
10,Yanma,Jackson,1500,2026_02_26_r1,
11,Spritzee,Eli,3000,2026_02_26_r1,
12,Plusle and Minun,Jackson,4400,2026_02_26_r1,
13,Poliwag,Ely,3100,2026_02_26_r1,
14,Smeargle,Jackson,1000,2026_02_26_r1,
15,Grubbin,Ely,2400,2026_02_26_r1,
16,Numel,Eli,2700,2026_02_26_r1,
17,Skiddo,Eli,3300,2026_02_26_r1,
18,Corphish,Pavan,2000,2026_02_26_r1,
19,Rookidee,Eli,2300,2026_02_26_r1,
20,Growlithe,Pavan,2700,2026_02_26_r1,
21,Staryu,Jackson,2700,2026_02_26_r1,
22,Snover,Pavan,1600,2026_02_26_r1,
23,Cutiefly,Ely,2700,2026_02_26_r1,
24,Tirtouga,Jackson,2100,2026_02_26_r1,
25,Bulbasaur,Ely,3300,2026_02_26_r1,
26,Nincada,Jackson,1500,2026_02_26_r1,
27,Vulpix,Eli,2100,2026_02_26_r1,
28,Totodile,Eli,2200,2026_02_26_r1,
29,Spheal,Pavan,2000,2026_02_26_r1,
30,Phantump,Pavan,4500,2026_02_26_r1,
31,Chingling,Jackson,2000,2026_02_26_r1,1
32,Surskit,Jackson,2000,2026_02_26_r1,
