order,pokemon,drafted_by,cost,run_id,was_egg
1,Magby,Ely,2700,2026_03_25_r1,
2,Zorua,Primo,1300,2026_03_25_r1,
3,Wailmer,Pavan,2700,2026_03_25_r1,
4,Emolga,Ely,3000,2026_03_25_r1,
5,Fennekin,Pavan,3400,2026_03_25_r1,
6,Geodude,Ely,2600,2026_03_25_r1,
7,Mareep,Pavan,2000,2026_03_25_r1,
8,Timburr,Primo,1700,2026_03_25_r1,
9,Froakie,Primo,1500,2026_03_25_r1,
10,Chewtle,Ely,2500,2026_03_25_r1,
11,Elgyem,Pavan,1300,2026_03_25_r1,
12,Espurr,Primo,2400,2026_03_25_r1,
13,Gastly,Ely,1800,2026_03_25_r1,
14,Scyther,Pavan,2800,2026_03_25_r1,
15,Charmander,Primo,2700,2026_03_25_r1,
16,Clauncher,Pavan,1600,2026_03_25_r1,
17,Slakoth,Primo,500,2026_03_25_r1,
18,Zigzagoon,Ely,3700,2026_03_25_r1,
19,Varoom,Primo,2400,2026_03_25_r1,
20,Wingull,Christian,2000,2026_03_25_r1,
21,Ponyta,Christian,2000,2026_03_25_r1,
22,Weedle,Christian,1700,2026_03_25_r1,
23,Plusle and Minun,Primo,4100,2026_03_25_r1,
24,Greavard,Christian,2000,2026_03_25_r1,
25,Sneasel,Christian,2000,2026_03_25_r1,
26,Teddiursa,Christian,2000,2026_03_25_r1,
27,Gothita,Christian,2000,2026_03_25_r1,
28,Nymble,Christian,3500,2026_03_25_r1,
29,Wattrel,Primo,3400,2026_03_25_r1,
30,Shellder,Christian,2800,2026_03_25_r1,
31,Fidough,Ely,3700,2026_03_25_r1,
32,Skiddo,Pavan,6200,2026_03_25_r1,
