order,pokemon,drafted_by,cost,run_id,was_egg
1,Plusle and Minun,Christian,4100,2026_03_21_r1,
2,Mawile,Christian,2700,2026_03_21_r1,
3,Ponyta,Primo,2600,2026_03_21_r1,
4,Skrelp,Eli,2300,2026_03_21_r1,
5,Trubbish,Austin,1400,2026_03_21_r1,
6,Ralts,Primo,4100,2026_03_21_r1,
7,Rockruff,Christian,1800,2026_03_21_r1,
8,Tyrogue,Pavan,2600,2026_03_21_r1,
9,Minior,Austin,3100,2026_03_21_r1,
10,Aron,Pavan,3500,2026_03_21_r1,
11,Tynamo,Austin,2000,2026_03_21_r1,
12,Litten,Christian,3300,2026_03_21_r1,
13,Cubone,Paddy,2500,2026_03_21_r1,
14,Cetoddle,Eli,2500,2026_03_21_r1,
15,Gothita,Paddy,1800,2026_03_21_r1,
16,Spheal,Eli,3000,2026_03_21_r1,
17,Poliwag,Paddy,3000,2026_03_21_r1,
18,Shuppet,Austin,1900,2026_03_21_r1,
19,Snover,Christian,2000,2026_03_21_r1,
20,Cutiefly,Eli,2400,2026_03_21_r1,
21,Nickit,Paddy,1800,2026_03_21_r1,
22,Misdreavus,Austin,2300,2026_03_21_r1,
23,Poochyena,Jackson,2000,2026_03_21_r1,
24,Fidough,Jackson,2300,2026_03_21_r1,
25,Swinub,Paddy,3500,2026_03_21_r1,
26,Spoink,Christian,1600,2026_03_21_r1,
27,Larvitar,Christian,3600,2026_03_21_r1,
28,Rotom,Primo,4600,2026_03_21_r1,
29,Remoraid,Paddy,2300,2026_03_21_r1,
30,Solosis,Pavan,2200,2026_03_21_r1,
31,Meowth,Eli,1900,2026_03_21_r1,
32,Stufful,Eli,2300,2026_03_21_r1,
33,Croagunk,Jackson,3700,2026_03_21_r1,
34,Diglett,Primo,1500,2026_03_21_r1,
35,Snubbull,Paddy,2700,2026_03_21_r1,
36,Cacnea,Primo,1900,2026_03_21_r1,
37,Chewtle,Pavan,2700,2026_03_21_r1,
38,Vulpix,Pavan,2000,2026_03_21_r1,
39,Lotad,Jackson,2900,2026_03_21_r1,
40,Elgyem,Austin,1200,2026_03_21_r1,
41,Amaura,Primo,1400,2026_03_21_r1,
42,Hatenna,Eli,1300,2026_03_21_r1,
43,Inkay,Jackson,1600,2026_03_21_r1,
44,Salandit,Pavan,2700,2026_03_21_r1,
45,Smoliv,Jackson,2600,2026_03_21_r1,
46,Joltik,Primo,1600,2026_03_21_r1,
47,Skiddo,Pavan,3200,2026_03_21_r1,
48,Oddish,Austin,2700,2026_03_21_r1,
49,Sizzlipede,Austin,2400,2026_03_21_r1,
50,Pansear,Primo,2300,2026_03_21_r1,
51,Scyther,Jackson,2400,2026_03_21_r1,
52,Purrloin,Jackson,1300,2026_03_21_r1,
53,Makuhita,Eli,1800,2026_03_21_r1,
54,Clamperl,Paddy,1300,2026_03_21_r1,
55,Noibat,Eli,2500,2026_03_21_r1,
56,Rowlet,Austin,3000,2026_03_21_r1,
