order,pokemon,drafted_by,cost,run_id,was_egg
1,Sandshrew,Ely,2600,2026_02_17_r1,
2,Meowth,Eli,1900,2026_02_17_r1,
3,Swirlix,Jackson,2500,2026_02_17_r1,
4,Varoom,Eli,2400,2026_02_17_r1,
5,Hatenna,Ely,2100,2026_02_17_r1,
6,Larvitar,Eli,2600,2026_02_17_r1,
7,Horsea,Eli,2700,2026_02_17_r1,
8,Zigzagoon,Jackson,3600,2026_02_17_r1,
9,Froakie,Ely,3500,2026_02_17_r1,
10,Frillish,Eli,3000,2026_02_17_r1,
11,Bunnelby,Ely,1900,2026_02_17_r1,
12,Slowpoke,Jackson,2700,2026_02_17_r1,
13,Pansear,Ely,2200,2026_02_17_r1,
14,Sandygast,Eli,2000,2026_02_17_r1,
15,Wattrel,Jackson,3400,2026_02_17_r1,
16,Elgyem,Eli,1100,2026_02_17_r1,
17,Inkay,Eli,1100,2026_02_17_r1,
18,Gossifleur,Jackson,3500,2026_02_17_r1,
19,Snover,Ely,1300,2026_02_17_r1,
20,Aron,Jackson,1600,2026_02_17_r1,
21,Turtwig,Ely,3300,2026_02_17_r1,
22,Weedle,Jackson,2700,2026_02_17_r1,
23,Machop,Eli,3200,2026_02_17_r1,
24,Sableye,Ely,3100,2026_02_17_r1,
