order,pokemon,drafted_by,cost,run_id,was_egg
1,Helioptile,Ely,1800,2026_03_26_r1,
2,Feebas,Jackson,1500,2026_03_26_r1,
3,Blitzle,Pavan,700,2026_03_26_r1,
4,Litwick,Jackson,3300,2026_03_26_r1,
5,Elekid,Jackson,1700,2026_03_26_r1,
6,Castform,Pavan,3200,2026_03_26_r1,
7,Totodile,Pavan,3500,2026_03_26_r1,
8,Meowth,Ely,1600,2026_03_26_r1,
9,Nosepass,Ely,1900,2026_03_26_r1,
10,Growlithe,Pavan,2500,2026_03_26_r1,
11,Frillish,Pavan,3300,2026_03_26_r1,
12,Mudbray,Jackson,3400,2026_03_26_r1,
13,Starly,Jackson,2500,2026_03_26_r1,
14,Shinx,Pavan,2600,2026_03_26_r1,
15,Drifloon,Jackson,1500,2026_03_26_r1,
16,Impidimp,Ely,4700,2026_03_26_r1,
17,Grubbin,Ely,2000,2026_03_26_r1,
18,Onix,Pavan,1600,2026_03_26_r1,
19,Froakie,Ely,2600,2026_03_26_r1,
20,Voltorb,Jackson,1500,2026_03_26_r1,
21,Emolga,Jackson,4600,2026_03_26_r1,
22,Spheal,Ely,2100,2026_03_26_r1,
23,Cubone,Ely,1100,2026_03_26_r1,
24,Oddish,Pavan,2600,2026_03_26_r1,
