order,pokemon,drafted_by,cost,run_id,was_egg
1,Dewpider,Pavan,3000,2026_02_15_r1,
2,Lillipup,Joey,2500,2026_02_15_r1,
3,Shroodle,Ely,2400,2026_02_15_r1,
4,Cubone,Paddy,2100,2026_02_15_r1,
5,Miltank,Ely,2400,2026_02_15_r1,
6,Makuhita,Joey,3100,2026_02_15_r1,
7,Squirtle,Paddy,3600,2026_02_15_r1,
8,Honedge,Ely,3500,2026_02_15_r1,
9,Tynamo,Eli,2500,2026_02_15_r1,
10,Trubbish,Joey,1700,2026_02_15_r1,
11,Espurr,Jackson,2300,2026_02_15_r1,
12,Froakie,Christian,3500,2026_02_15_r1,
13,Shinx,Christian,2500,2026_02_15_r1,
14,Wattrel,Jackson,2400,2026_02_15_r1,
15,Tinkatink,Pavan,2500,2026_02_15_r1,
16,Totodile,Ely,3000,2026_02_15_r1,
17,Wishiwashi,Christian,2800,2026_02_15_r1,
18,Shellder,Paddy,1600,2026_02_15_r1,
19,Clamperl,Jackson,1500,2026_02_15_r1,
20,Ralts,Christian,3400,2026_02_15_r1,
21,Tirtouga,Joey,2100,2026_02_15_r1,
22,Poochyena,Ely,2300,2026_02_15_r1,
23,Houndour,Joey,2900,2026_02_15_r1,
24,Snorunt,Joey,2400,2026_02_15_r1,
25,Bounsweet,Eli,2400,2026_02_15_r1,
26,Pancham,Eli,2300,2026_02_15_r1,
27,Klawf,Christian,2100,2026_02_15_r1,
28,Phantump,Joey,5300,2026_02_15_r1,
29,Cutiefly,Eli,2300,2026_02_15_r1,
30,Lotad,Eli,3000,2026_02_15_r1,
31,Tyrunt,Christian,3100,2026_02_15_r1,
32,Turtonator,Ely,2900,2026_02_15_r1,
33,Trapinch,Eli,3000,2026_02_15_r1,
34,Slakoth,Paddy,1600,2026_02_15_r1,
35,Mawile,Christian,2600,2026_02_15_r1,
36,Buneary,Jackson,1500,2026_02_15_r1,
37,Slowpoke,Jackson,2200,2026_02_15_r1,
38,Flabebe,Paddy,1600,2026_02_15_r1,
39,Shroomish,Pavan,3000,2026_02_15_r1,
40,Machop,Ely,2100,2026_02_15_r1,
41,Bunnelby,Pavan,1700,2026_02_15_r1,
42,Castform,Pavan,2700,2026_02_15_r1,
43,Mudbray,Pavan,2600,2026_02_15_r1,
44,Carvanha,Paddy,1500,2026_02_15_r1,
45,Aron,Jackson,2300,2026_02_15_r1,
46,Magnemite,Pavan,2600,2026_02_15_r1,
47,Wingull,Jackson,1900,2026_02_15_r1,
48,Venipede,Paddy,1700,2026_02_15_r1,
49,Drifloon,Eli,2000,2026_02_15_r1,
50,Amaura,Paddy,1900,2026_02_15_r1,
51,Snover,Paddy,1500,2026_02_15_r1,
52,Beldum,Pavan,1900,2026_02_15_r1,
53,Spheal,Jackson,1500,2026_02_15_r1,
54,Skrelp,Ely,1400,2026_02_15_r1,
55,Weedle,Paddy,2600,2026_02_15_r1,
56,Feebas,Jackson,4400,2026_02_15_r1,
