order,pokemon,drafted_by,cost,run_id,was_egg
1,Klawf,Paddy,2000,2026_02_16_r1,
2,Minior,Ely,2600,2026_02_16_r1,
3,Wingull,Pavan,3200,2026_02_16_r1,
4,Honedge,Joey,3600,2026_02_16_r1,
5,Bagon,Joey,3200,2026_02_16_r1,
6,Snorunt,Joey,2500,2026_02_16_r1,
7,Exeggcute,Ely,3100,2026_02_16_r1,
8,Rotom,Primo,4900,2026_02_16_r1,
9,Remoraid,Ely,2300,2026_02_16_r1,
10,Sneasel,Primo,2500,2026_02_16_r1,
11,Castform,Austin,3000,2026_02_16_r1,
12,Growlithe,Joey,3200,2026_02_16_r1,
13,Surskit,Primo,1800,2026_02_16_r1,
14,Oddish,Ely,2700,2026_02_16_r1,
15,Slakoth,Paddy,1600,2026_02_16_r1,
16,Blipbug,Joey,2400,2026_02_16_r1,
17,Pikipek,Paddy,2200,2026_02_16_r1,
18,Cetoddle,Pavan,2600,2026_02_16_r1,
19,Sandshrew,Ely,3200,2026_02_16_r1,
20,Fuecoco,Jackson,3400,2026_02_16_r1,
21,Miltank,Austin,2300,2026_02_16_r1,
22,Clamperl,Primo,2300,2026_02_16_r1,
23,Inkay,Paddy,2400,2026_02_16_r1,
24,Paras,Pavan,2300,2026_02_16_r1,
25,Lotad,Jackson,2900,2026_02_16_r1,
26,Corphish,Joey,2800,2026_02_16_r1,
27,Skorupi,Joey,2300,2026_02_16_r1,
28,Zubat,Paddy,2200,2026_02_16_r1,
29,Chimchar,Jackson,3600,2026_02_16_r1,
30,Swirlix,Paddy,2400,2026_02_16_r1,
31,Houndour,Paddy,2300,2026_02_16_r1,
32,Zorua,Primo,2700,2026_02_16_r1,
33,Corsola,Austin,3300,2026_02_16_r1,
34,Spheal,Pavan,2300,2026_02_16_r1,
35,Drilbur,Paddy,3900,2026_02_16_r1,
36,Emolga,Austin,3200,2026_02_16_r1,
37,Aron,Pavan,3400,2026_02_16_r1,
38,Clauncher,Austin,2400,2026_02_16_r1,
39,Spritzee,Ely,2600,2026_02_16_r1,
40,Plusle and Minun,Pavan,3600,2026_02_16_r1,
41,Timburr,Jackson,2300,2026_02_16_r1,
42,Buneary,Austin,1600,2026_02_16_r1,
43,Machop,Primo,2100,2026_02_16_r1,
44,Helioptile,Jackson,1700,2026_02_16_r1,
45,Salandit,Primo,1500,2026_02_16_r1,
46,Turtonator,Jackson,3300,2026_02_16_r1,
47,Swinub,Pavan,1600,2026_02_16_r1,
48,Poliwag,Jackson,1500,2026_02_16_r1,
49,Rockruff,Primo,1100,2026_02_16_r1,
50,Absol,Primo,1100,2026_02_16_r1,
51,Litwick,Ely,3200,2026_02_16_r1,
52,Nosepass,Austin,1300,2026_02_16_r1,
53,Cubone,Austin,1300,2026_02_16_r1,
54,Staryu,Jackson,1100,2026_02_16_r1,
55,Shuppet,Paddy,1000,2026_02_16_r1,
56,Hawlucha,Austin,1300,2026_02_16_r1,
