order,pokemon,drafted_by,cost,run_id,was_egg
1,Spheal,Jackson,2300,2026_02_28_r1,
2,Fennekin,Jackson,3000,2026_02_28_r1,
3,Torchic,Primo,3500,2026_02_28_r1,
4,Absol,Pavan,2300,2026_02_28_r1,
5,Lotad,Paddy,2700,2026_02_28_r1,
6,Noibat,Paddy,2000,2026_02_28_r1,
7,Mankey,Jackson,2800,2026_02_28_r1,
8,Rolycoly,Pavan,2600,2026_02_28_r1,
9,Snover,Christian,1800,2026_02_28_r1,
10,Bulbasaur,Primo,3100,2026_02_28_r1,
11,Shroomish,Pavan,2400,2026_02_28_r1,
12,Snorunt,Jackson,1700,2026_02_28_r1,
13,Zubat,Primo,2400,2026_02_28_r1,
14,Plusle and Minun,Christian,4100,2026_02_28_r1,
15,Timburr,Christian,2200,2026_02_28_r1,
16,Gossifleur,Jackson,2500,2026_02_28_r1,
17,Miltank,Jackson,2600,2026_02_28_r1,
18,Oddish,Paddy,1900,2026_02_28_r1,
19,Cutiefly,Pavan,2300,2026_02_28_r1,
20,Scatterbug,Jackson,1900,2026_02_28_r1,
21,Hatenna,Primo,1900,2026_02_28_r1,
22,Spoink,Christian,1400,2026_02_28_r1,
23,Sizzlipede,Paddy,2000,2026_02_28_r1,
24,Corsola,Primo,3100,2026_02_28_r1,
25,Pancham,Paddy,1900,2026_02_28_r1,
26,Klawf,Primo,2100,2026_02_28_r1,
27,Helioptile,Paddy,2000,2026_02_28_r1,
28,Amaura,Paddy,1900,2026_02_28_r1,
29,Voltorb,Primo,2300,2026_02_28_r1,
30,Starly,Pavan,1900,2026_02_28_r1,
31,Shinx,Christian,2200,2026_02_28_r1,
32,Sandygast,Pavan,2400,2026_02_28_r1,
33,Trapinch,Christian,2000,2026_02_28_r1,
34,Staryu,Pavan,3300,2026_02_28_r1,
35,Froakie,Paddy,3300,2026_02_28_r1,
36,Litwick,Jackson,3200,2026_02_28_r1,
37,Nosepass,Paddy,2300,2026_02_28_r1,
38,Bunnelby,Primo,1600,2026_02_28_r1,
39,Rotom,Christian,3000,2026_02_28_r1,
40,Impidimp,Christian,3000,2026_02_28_r1,
