order,pokemon,drafted_by,cost,run_id,was_egg
1,Horsea,Paddy,2600,2026_01_23_r1,
2,Weedle,Paddy,1500,2026_01_23_r1,
3,Machop,Austin,2300,2026_01_23_r1,
4,Espurr,Austin,2000,2026_01_23_r1,
5,Wooper,Paddy,2600,2026_01_23_r1,
6,Makuhita,Austin,2200,2026_01_23_r1,
7,Pancham,Austin,1700,2026_01_23_r1,
8,Corsola,Jackson,3600,2026_01_23_r1,
9,Phantump,Paddy,2100,2026_01_23_r1,
10,Snubbull,Austin,1600,2026_01_23_r1,
11,Elgyem,Austin,1400,2026_01_23_r1,
12,Lillipup,Paddy,1500,2026_01_23_r1,
13,Sizzlipede,Paddy,1900,2026_01_23_r1,
14,Lotad,Paddy,2200,2026_01_23_r1,
15,Mudkip,Jackson,6000,2026_01_23_r1,
16,Skorupi,Austin,1500,2026_01_23_r1,
17,Litten,Jackson,2600,2026_01_23_r1,
18,Scatterbug,Paddy,2100,2026_01_23_r1,
19,Diglett,Austin,1900,2026_01_23_r1,
20,Emolga,Austin,2500,2026_01_23_r1,
21,Falinks,Jackson,3000,2026_01_23_r1,
22,Tinkatink,Paddy,1000,2026_01_23_r1,
23,Bunnelby,Austin,2900,2026_01_23_r1,
24,Electrike,Jackson,2600,2026_01_23_r1,
