order,pokemon,drafted_by,cost,run_id,was_egg
1,Cacnea,Paddy,2000,2026_03_29_r1,
2,Skiddo,Ely,3200,2026_03_29_r1,
3,Meowth,Paddy,1900,2026_03_29_r1,
4,Mudbray,Jackson,3500,2026_03_29_r1,
5,Skrelp,Paddy,2100,2026_03_29_r1,
6,Clauncher,Paddy,2200,2026_03_29_r1,
7,Remoraid,Paddy,2000,2026_03_29_r1,
8,Vulpix,Primo,2000,2026_03_29_r1,
9,Morelull,Pavan,2800,2026_03_29_r1,
10,Sandygast,Paddy,3000,2026_03_29_r1,
11,Skorupi,Paddy,1600,2026_03_29_r1,
12,Yamper,Jackson,2100,2026_03_29_r1,
13,Snover,Christian,2000,2026_03_29_r1,
14,Paras,Jackson,1900,2026_03_29_r1,
15,Budew,Primo,2000,2026_03_29_r1,
16,Drifloon,Primo,2100,2026_03_29_r1,
17,Trapinch,Pavan,2600,2026_03_29_r1,
18,Zubat,Primo,2400,2026_03_29_r1,
19,Noibat,Christian,2000,2026_03_29_r1,
20,Wooper,Ely,2500,2026_03_29_r1,
21,Clobbopus,Christian,2000,2026_03_29_r1,
22,Buneary,Christian,1600,2026_03_29_r1,
23,Rolycoly,Ely,3300,2026_03_29_r1,
24,Cutiefly,Pavan,2500,2026_03_29_r1,
25,Wailmer,Christian,2400,2026_03_29_r1,
26,Dewpider,Jackson,3600,2026_03_29_r1,
27,Fuecoco,Pavan,2800,2026_03_29_r1,
28,Ekans,Paddy,2500,2026_03_29_r1,
29,Varoom,Pavan,2100,2026_03_29_r1,
30,Tinkatink,Christian,2400,2026_03_29_r1,
31,Voltorb,Christian,1900,2026_03_29_r1,
32,Tyrunt,Christian,3000,2026_03_29_r1,
33,Staryu,Ely,3100,2026_03_29_r1,
34,Hatenna,Christian,2700,2026_03_29_r1,
35,Beldum,Primo,3300,2026_03_29_r1,
36,Sizzlipede,Ely,1800,2026_03_29_r1,
37,Horsea,Pavan,2200,2026_03_29_r1,
38,Scyther,Ely,2800,2026_03_29_r1,
39,Gible,Primo,3400,2026_03_29_r1,
40,Munchlax,Jackson,2300,2026_03_29_r1,
41,Phanpy,Paddy,2700,2026_03_29_r1,
42,Litten,Jackson,2500,2026_03_29_r1,
43,Smoliv,Jackson,1700,2026_03_29_r1,
44,Mareep,Primo,2500,2026_03_29_r1,
45,Diglett,Primo,2300,2026_03_29_r1,
46,Charmander,Jackson,2400,2026_03_29_r1,
47,Sandile,Pavan,3400,2026_03_29_r1,
48,Stufful,Ely,3300,2026_03_29_r1,
