order,pokemon,drafted_by,cost,run_id,was_egg
1,Weedle,Paddy,1200,2026_03_20_r1,
2,Applin,Paddy,3700,2026_03_20_r1,
3,Espurr,Paddy,2300,2026_03_20_r1,
4,Misdreavus,Primo,2000,2026_03_20_r1,
5,Smoliv,Jackson,2500,2026_03_20_r1,
6,Bulbasaur,Christian,3200,2026_03_20_r1,
7,Zubat,Primo,1700,2026_03_20_r1,
8,Lotad,Primo,2600,2026_03_20_r1,
9,Fidough,Paddy,2200,2026_03_20_r1,
10,Budew,Primo,1900,2026_03_20_r1,
11,Gossifleur,Jackson,1700,2026_03_20_r1,
12,Skorupi,Paddy,1900,2026_03_20_r1,
13,Magnemite,Primo,2300,2026_03_20_r1,
14,Sneasel,Primo,2000,2026_03_20_r1,
15,Corphish,Primo,2300,2026_03_20_r1,
16,Treecko,Christian,2400,2026_03_20_r1,
17,Fletchling,Christian,2000,2026_03_20_r1,
18,Charmander,Jackson,3400,2026_03_20_r1,
19,Vulpix,Paddy,2000,2026_03_20_r1,
20,Hippopotas,Primo,2700,2026_03_20_r1,
21,Grubbin,Paddy,2000,2026_03_20_r1,
22,Munchlax,Jackson,1700,2026_03_20_r1,
23,Rowlet,Jackson,1700,2026_03_20_r1,
24,Larvitar,Jackson,3100,2026_03_20_r1,
25,Skiddo,Jackson,1500,2026_03_20_r1,
26,Zorua,Jackson,1700,2026_03_20_r1,
27,Nickit,Paddy,1300,2026_03_20_r1,
28,Voltorb,Primo,2500,2026_03_20_r1,
29,Shroodle,Jackson,2700,2026_03_20_r1,
30,Swirlix,Christian,4000,2026_03_20_r1,
31,Cacnea,Christian,4000,2026_03_20_r1,
32,Hatenna,Christian,4000,2026_03_20_r1,
