order,pokemon,drafted_by,cost,run_id,was_egg
1,Grubbin,Joey,2200,2026_03_23_r1,
2,Lotad,Pavan,2900,2026_03_23_r1,
3,Tentacool,Ely,2900,2026_03_23_r1,
4,Wingull,Joey,2800,2026_03_23_r1,
5,Chewtle,Jackson,2700,2026_03_23_r1,
6,Wattrel,Pavan,2900,2026_03_23_r1,
7,Mantyke,Joey,3000,2026_03_23_r1,
8,Carvanha,Joey,1600,2026_03_23_r1,
9,Helioptile,Joey,1800,2026_03_23_r1,
10,Castform,Jackson,3400,2026_03_23_r1,
11,Gothita,Joey,1600,2026_03_23_r1,
12,Larvitar,Joey,4000,2026_03_23_r1,
13,Spheal,Joey,3000,2026_03_23_r1,
14,Smeargle,Jackson,1200,2026_03_23_r1,
15,Charmander,Ely,4000,2026_03_23_r1,
16,Swinub,Pavan,3000,2026_03_23_r1,
17,Pikipek,Ely,1500,2026_03_23_r1,
18,Staryu,Jackson,2300,2026_03_23_r1,
19,Snivy,Ely,2500,2026_03_23_r1,
20,Bulbasaur,Jackson,2300,2026_03_23_r1,
21,Mudkip,Ely,3300,2026_03_23_r1,
22,Scatterbug,Jackson,1900,2026_03_23_r1,
23,Goomy,Ely,2600,2026_03_23_r1,
24,Ralts,Pavan,3700,2026_03_23_r1,
25,Lillipup,Jackson,2100,2026_03_23_r1,
26,Bonsly,Pavan,900,2026_03_23_r1,
27,Sizzlipede,Pavan,1000,2026_03_23_r1,
28,Yanma,Jackson,900,2026_03_23_r1,
29,Magnemite,Jackson,3200,2026_03_23_r1,
30,Sewaddle,Pavan,900,2026_03_23_r1,
31,Fletchling,Ely,1400,2026_03_23_r1,
32,Growlithe,Pavan,4700,2026_03_23_r1,
